city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state,media_movel,variacao_semanal
Arroio do Padre,4301073.0,394,13351.4063,2022-03-24,0.0102,4,2951.0,2937.0,True,515,city,RS,1926.2857142857142,1.0846560846560847
Arroio do Sal,4301057.0,2790,27142.71816,2022-03-24,0.0154,43,10279.0,10065.0,True,654,city,RS,2185.8571428571427,1.8674203494347381
Arroio dos Ratos,4301107.0,1913,13493.68696,2022-03-24,0.0256,49,14177.0,14151.0,True,651,city,RS,1833.857142857143,-0.5629426547863834
Arroio do Tigre,4301206.0,2497,18616.2678,2022-03-24,0.0092,23,13413.0,13373.0,True,558,city,RS,2139.285714285714,5.955431754874652
Arroio Grande,4301305.0,2652,14541.0681,2022-03-24,0.023,61,18238.0,18293.0,True,599,city,RS,2287.0,0.6390605686032138
Arvorezinha,4301404.0,1549,14861.36429,2022-03-24,0.02,31,10423.0,10424.0,True,634,city,RS,2387.285714285714,0.8288075560802834
Augusto Pestana,4301503.0,1715,25976.97667,2022-03-24,0.0082,14,6602.0,6661.0,True,529,city,RS,1930.0,-0.6511391375101709
Áurea,4301552.0,553,15643.56436,2022-03-24,0.0108,6,3535.0,3554.0,True,613,city,RS,1952.7142857142858,0.40355329949238583
Bagé,4301602.0,17597,14502.82276,2022-03-24,0.0185,326,121335.0,121143.0,True,671,city,RS,4068.0,5.307168458781362
Balneário Pinhal,4301636.0,3378,23518.76349,2022-03-24,0.0184,62,14363.0,14068.0,True,601,city,RS,4277.285714285715,0.7658128593831679
Barão,4301651.0,1163,18752.01548,2022-03-24,0.012,14,6202.0,6171.0,True,596,city,RS,4086.714285714286,-0.5342410893071686
Barão de Cotegipe,4301701.0,1032,15589.12387,2022-03-24,0.0107,11,6620.0,6623.0,True,614,city,RS,3855.285714285714,-0.6108597285067874
Barão do Triunfo,4301750.0,711,9456.04469,2022-03-24,0.0127,9,7519.0,7487.0,True,565,city,RS,3735.5714285714284,-0.5409941897998709
Barracão,4301800.0,836,15905.63166,2022-03-24,0.0215,18,5256.0,5275.0,True,593,city,RS,3610.0,-0.5125364431486881
Barra do Guarita,4301859.0,131,4022.10623,2022-03-24,0.0611,8,3257.0,3248.0,True,566,city,RS,3549.714285714286,-0.7631103074141049
Barra do Quaraí,4301875.0,914,21622.9004,2022-03-24,0.0098,9,4227.0,4215.0,True,547,city,RS,1166.4285714285713,-0.9480593282945957
Barra do Ribeiro,4301909.0,1724,12717.61582,2022-03-24,0.0331,57,13556.0,13491.0,True,616,city,RS,930.1428571428571,-0.4896388395500296
Barra do Rio Azul,4301925.0,207,12507.55287,2022-03-24,0.0048,1,1655.0,1690.0,True,569,city,RS,793.5714285714286,-0.82201203783319
Barra Funda,4301958.0,945,37044.29635,2022-03-24,0.0148,14,2551.0,2539.0,True,579,city,RS,781.1428571428571,-0.08430232558139539
Barros Cassal,4302006.0,1478,13217.67126,2022-03-24,0.0101,15,11182.0,11199.0,True,627,city,RS,890.7142857142857,1.078762306610408
Benjamin Constant do Sul,4302055.0,203,10367.72217,2022-03-24,0.0148,3,1958.0,1994.0,True,609,city,RS,800.2857142857143,-0.757177033492823
Bento Gonçalves,4302105.0,35052,28777.61631,2022-03-24,0.0127,446,121803.0,120454.0,True,670,city,RS,5789.0,266.57251908396944
Boa Vista das Missões,4302154.0,388,18546.84512,2022-03-24,0.018,7,2092.0,2098.0,True,609,city,RS,5713.857142857143,-0.5754923413566739
Boa Vista do Buricá,4302204.0,1637,24389.15375,2022-03-24,0.0079,13,6712.0,6712.0,True,543,city,RS,5701.428571428572,-0.050464037122969874
Boa Vista do Cadeado,4302220.0,361,14627.22853,2022-03-24,0.0139,5,2468.0,2470.0,True,549,city,RS,5723.428571428572,0.7439613526570048
Boa Vista do Incra,4302238.0,639,24426.6055,2022-03-24,0.0078,5,2616.0,2603.0,True,553,city,RS,5679.714285714285,-0.32380952380952377
Boa Vista do Sul,4302253.0,543,19546.43629,2022-03-24,0.0092,5,2778.0,2783.0,True,629,city,RS,5546.142857142857,-0.6326116373477673
Bom Jesus,4302303.0,1725,15253.33805,2022-03-24,0.0151,26,11309.0,11349.0,True,620,city,RS,5763.571428571428,7.497536945812808
Bom Princípio,4302352.0,3432,24075.76289,2022-03-24,0.0099,34,14255.0,14055.0,True,623,city,RS,1246.4285714285713,-0.9020883259157823
Bom Progresso,4302378.0,306,16113.74408,2022-03-24,0.0098,3,1899.0,1942.0,True,609,city,RS,1234.7142857142858,-0.21134020618556704
