city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Tamboril do Piauí,2210953,56,1911.91533,2022-03-24,0.1429,8,2929.0,2919.0,False,627,city,PI
Tanque do Piauí,2210979,422,15218.17526,2022-03-24,0.0024,1,2773.0,2765.0,False,641,city,PI
Teresina,2211001,119189,13730.26524,2022-03-24,0.0232,2760,868075.0,864845.0,False,732,city,PI
União,2211100,2577,5782.04582,2022-03-24,0.0279,72,44569.0,44485.0,False,702,city,PI
Uruçuí,2211209,4084,18859.38582,2022-03-24,0.0169,69,21655.0,21558.0,False,693,city,PI
Valença do Piauí,2211308,2193,10478.28372,2022-03-24,0.0342,75,20929.0,20918.0,False,689,city,PI
Várzea Branca,2211357,204,4131.22722,2022-03-24,0.0588,12,4938.0,4947.0,False,664,city,PI
Várzea Grande,2211407,561,12790.69767,2022-03-24,0.0018,1,4386.0,4391.0,False,695,city,PI
Vera Mendes,2211506,400,12987.01299,2022-03-24,0.0075,3,3080.0,3077.0,False,679,city,PI
Vila Nova do Piauí,2211605,349,11822.49322,2022-03-24,0.0086,3,2952.0,2971.0,False,687,city,PI
Wall Ferraz,2211704,335,7492.73093,2022-03-24,0.009,3,4471.0,4462.0,False,640,city,PI
,22,367490,11198.91025,2022-03-24,0.021,7719,3281480.0,3273227.0,False,736,state,PI
,41,2403986,20873.65979,2022-03-24,0.0178,42869,11516840.0,11433957.0,False,741,state,PR
,33,2071914,11930.73506,2022-03-24,0.035,72591,17366189.0,17264943.0,False,734,state,RJ
,24,495182,14011.28697,2022-03-24,0.0164,8117,3534165.0,3506853.0,False,693,state,RN
,11,389802,21698.34007,2022-03-24,0.0184,7164,1796460.0,1777225.0,False,714,state,RO
,14,154973,24552.86202,2022-03-24,0.0138,2144,631181.0,605761.0,False,718,state,RR
Aceguá,4300034,763,15439.09348,2022-03-24,0.0105,8,4942.0,4901.0,True,552,city,RS
Água Santa,4300059,830,22174.72616,2022-03-24,0.0133,11,3743.0,3748.0,True,621,city,RS
Agudo,4300109,2992,18242.79007,2022-03-24,0.012,36,16401.0,16461.0,True,600,city,RS
Ajuricaba,4300208,1791,25633.31902,2022-03-24,0.0201,36,6987.0,7024.0,True,646,city,RS
Alecrim,4300307,602,10331.21675,2022-03-24,0.0216,13,5827.0,5950.0,True,611,city,RS
Alegrete,4300406,15009,20552.39086,2022-03-24,0.0216,324,73028.0,73589.0,True,658,city,RS
Alegria,4300455,538,15945.46532,2022-03-24,0.0093,5,3374.0,3464.0,True,572,city,RS
Almirante Tamandaré do Sul,4300471,519,26629.04053,2022-03-24,0.0135,7,1949.0,1964.0,True,544,city,RS
Alpestre,4300505,1209,19927.47651,2022-03-24,0.0141,17,6067.0,6258.0,True,624,city,RS
Alto Alegre,4300554,395,24488.53069,2022-03-24,0.0051,2,1613.0,1638.0,True,526,city,RS
Alto Feliz,4300570,646,21277.99736,2022-03-24,0.0062,4,3036.0,3028.0,True,579,city,RS
Alvorada,4300604,30979,14657.53814,2022-03-24,0.028,868,211352.0,210305.0,True,671,city,RS
Amaral Ferrador,4300638,526,7424.1355,2022-03-24,0.0228,12,7085.0,7031.0,True,521,city,RS
Ametista do Sul,4300646,1710,23098.74375,2022-03-24,0.0158,27,7403.0,7409.0,True,621,city,RS
André da Rocha,4300661,189,14072.97096,2022-03-24,0.0053,1,1343.0,1333.0,True,581,city,RS
Anta Gorda,4300703,973,16322.76464,2022-03-24,0.0082,8,5961.0,5981.0,True,666,city,RS
Antônio Prado,4300802,4377,33553.08547,2022-03-24,0.008,35,13045.0,13050.0,True,623,city,RS
Arambaré,4300851,359,10078.60752,2022-03-24,0.0279,10,3562.0,3581.0,True,561,city,RS
Araricá,4300877,1618,28036.7354,2022-03-24,0.0179,29,5771.0,5698.0,True,597,city,RS
Aratiba,4300901,847,13685.57117,2022-03-24,0.0094,8,6189.0,6235.0,True,596,city,RS
Arroio do Meio,4301008,4916,23446.3681,2022-03-24,0.0114,56,20967.0,20805.0,True,640,city,RS
Arroio do Padre,4301073,394,13351.4063,2022-03-24,0.0102,4,2951.0,2937.0,True,515,city,RS
Arroio do Sal,4301057,2790,27142.71816,2022-03-24,0.0154,43,10279.0,10065.0,True,654,city,RS
Arroio dos Ratos,4301107,1913,13493.68696,2022-03-24,0.0256,49,14177.0,14151.0,True,651,city,RS
Arroio do Tigre,4301206,2497,18616.2678,2022-03-24,0.0092,23,13413.0,13373.0,True,558,city,RS
Arroio Grande,4301305,2652,14541.0681,2022-03-24,0.023,61,18238.0,18293.0,True,599,city,RS
Arvorezinha,4301404,1549,14861.36429,2022-03-24,0.02,31,10423.0,10424.0,True,634,city,RS
Augusto Pestana,4301503,1715,25976.97667,2022-03-24,0.0082,14,6602.0,6661.0,True,529,city,RS
Áurea,4301552,553,15643.56436,2022-03-24,0.0108,6,3535.0,3554.0,True,613,city,RS
Bagé,4301602,17597,14502.82276,2022-03-24,0.0185,326,121335.0,121143.0,True,671,city,RS
Balneário Pinhal,4301636,3378,23518.76349,2022-03-24,0.0184,62,14363.0,14068.0,True,601,city,RS
Barão,4301651,1163,18752.01548,2022-03-24,0.012,14,6202.0,6171.0,True,596,city,RS
Barão de Cotegipe,4301701,1032,15589.12387,2022-03-24,0.0107,11,6620.0,6623.0,True,614,city,RS
Barão do Triunfo,4301750,711,9456.04469,2022-03-24,0.0127,9,7519.0,7487.0,True,565,city,RS
Barracão,4301800,836,15905.63166,2022-03-24,0.0215,18,5256.0,5275.0,True,593,city,RS
Barra do Guarita,4301859,131,4022.10623,2022-03-24,0.0611,8,3257.0,3248.0,True,566,city,RS
Barra do Quaraí,4301875,914,21622.9004,2022-03-24,0.0098,9,4227.0,4215.0,True,547,city,RS
Barra do Ribeiro,4301909,1724,12717.61582,2022-03-24,0.0331,57,13556.0,13491.0,True,616,city,RS
Barra do Rio Azul,4301925,207,12507.55287,2022-03-24,0.0048,1,1655.0,1690.0,True,569,city,RS
Barra Funda,4301958,945,37044.29635,2022-03-24,0.0148,14,2551.0,2539.0,True,579,city,RS
Barros Cassal,4302006,1478,13217.67126,2022-03-24,0.0101,15,11182.0,11199.0,True,627,city,RS
Benjamin Constant do Sul,4302055,203,10367.72217,2022-03-24,0.0148,3,1958.0,1994.0,True,609,city,RS
Bento Gonçalves,4302105,35052,28777.61631,2022-03-24,0.0127,446,121803.0,120454.0,True,670,city,RS
Boa Vista das Missões,4302154,388,18546.84512,2022-03-24,0.018,7,2092.0,2098.0,True,609,city,RS
Boa Vista do Buricá,4302204,1637,24389.15375,2022-03-24,0.0079,13,6712.0,6712.0,True,543,city,RS
Boa Vista do Cadeado,4302220,361,14627.22853,2022-03-24,0.0139,5,2468.0,2470.0,True,549,city,RS
Boa Vista do Incra,4302238,639,24426.6055,2022-03-24,0.0078,5,2616.0,2603.0,True,553,city,RS
Boa Vista do Sul,4302253,543,19546.43629,2022-03-24,0.0092,5,2778.0,2783.0,True,629,city,RS
Bom Jesus,4302303,1725,15253.33805,2022-03-24,0.0151,26,11309.0,11349.0,True,620,city,RS
Bom Princípio,4302352,3432,24075.76289,2022-03-24,0.0099,34,14255.0,14055.0,True,623,city,RS
Bom Progresso,4302378,306,16113.74408,2022-03-24,0.0098,3,1899.0,1942.0,True,609,city,RS
Bom Retiro do Sul,4302402,2012,16238.90234,2022-03-24,0.0199,40,12390.0,12328.0,True,650,city,RS
Boqueirão do Leão,4302451,708,9192.41755,2022-03-24,0.0494,35,7702.0,7714.0,True,566,city,RS
Bossoroca,4302501,600,9669.62127,2022-03-24,0.0367,22,6205.0,6279.0,True,597,city,RS
Bozano,4302584,511,24206.53719,2022-03-24,0.0157,8,2111.0,2123.0,True,546,city,RS
Braga,4302600,682,20598.00664,2022-03-24,0.0147,10,3311.0,3353.0,True,606,city,RS
Brochier,4302659,1071,20983.54232,2022-03-24,0.0065,7,5104.0,5074.0,True,614,city,RS
Butiá,4302709,3026,14442.53532,2022-03-24,0.0212,64,20952.0,20941.0,True,619,city,RS
Caçapava do Sul,4302808,6597,19664.36151,2022-03-24,0.0155,102,33548.0,33624.0,True,624,city,RS
Cacequi,4302907,1387,11164.77501,2022-03-24,0.0115,16,12423.0,12561.0,True,577,city,RS
Cachoeira do Sul,4303004,17288,21116.66198,2022-03-24,0.0134,232,81869.0,82201.0,True,663,city,RS
Cachoeirinha,4303103,19891,15156.20238,2022-03-24,0.0266,529,131240.0,130293.0,True,659,city,RS
